店舗,機種名,End_Digit,稼働日数,集計数,平均差枚数,平均回転数,勝率
キング観光サウザンド生桑,L ToLOVEるダークネス TRANCE ver.8.7,3.0,29,113,-57.902654867256636,2722.6548672566373,0.3274336283185841
キング観光サウザンド生桑,L ToLOVEるダークネス TRANCE ver.8.7,4.0,28,107,-330.77570093457945,2710.196261682243,0.32710280373831774
キング観光サウザンド生桑,L ToLOVEるダークネス TRANCE ver.8.7,5.0,29,112,-37.517857142857146,2744.8035714285716,0.35714285714285715
キング観光サウザンド生桑,L ToLOVEるダークネス TRANCE ver.8.7,6.0,28,107,-198.6355140186916,2387.626168224299,0.34579439252336447
キング観光サウザンド生桑,L ToLOVEるダークネス TRANCE ver.8.7,7.0,29,112,-148.23214285714286,4042.8214285714284,0.35714285714285715
キング観光サウザンド生桑,L ToLOVEるダークネス TRANCE ver.8.7,8.0,31,123,-44.951219512195124,2338.5447154471544,0.4146341463414634
キング観光サウザンド生桑,L ToLOVEるダークネス TRANCE ver.8.7,9.0,30,120,149.80833333333334,2711.3333333333335,0.35833333333333334
キング観光サウザンド生桑,L ULTRAMAN,0.0,3,3,-505.3333333333333,558.3333333333334,0.0
キング観光サウザンド生桑,L ULTRAMAN,1.0,3,3,181.0,1359.6666666666667,0.3333333333333333
キング観光サウザンド生桑,L ULTRAMAN,2.0,4,4,-1197.0,1674.75,0.0
キング観光サウザンド生桑,L ULTRAMAN,3.0,4,4,699.0,1436.5,0.5
キング観光サウザンド生桑,L ULTRAMAN,4.0,3,3,-189.33333333333334,1522.0,0.3333333333333333
キング観光サウザンド生桑,L ULTRAMAN,5.0,3,3,-567.0,1032.6666666666667,0.0
キング観光サウザンド生桑,L ULTRAMAN,6.0,3,3,-323.0,1105.0,0.3333333333333333
キング観光サウザンド生桑,L ULTRAMAN,7.0,3,3,-1401.0,2384.0,0.0
キング観光サウザンド生桑,L ULTRAMAN,8.0,3,3,-1242.3333333333333,1935.6666666666667,0.0
キング観光サウザンド生桑,L ULTRAMAN,9.0,3,3,-252.0,998.3333333333334,0.3333333333333333
キング観光サウザンド生桑,L にゃんこ大戦争 超神速,0.0,8,32,-376.8125,2482.78125,0.3125
キング観光サウザンド生桑,L にゃんこ大戦争 超神速,1.0,11,45,59.31111111111111,3047.4,0.4
キング観光サウザンド生桑,L にゃんこ大戦争 超神速,2.0,9,37,-336.13513513513516,3125.5675675675675,0.32432432432432434
